title,source,url,timestamp,raw_text,cleaned_text,topics
HOUSE OF REPRESENTATIVES 1 hour ago 11 Dems join GOP lawmakers to threaten UN funding over 'ongoing hostility' to Israel,Fox News Politics,https://www.foxnews.com/politics/11-dems-join-gop-lawmakers-threaten-un-funding-over-ongoing-hostility-israel,2024-10-25 09:54:48.662206,HOUSE OF REPRESENTATIVES 1 hour ago 11 Dems join GOP lawmakers to threaten UN funding over 'ongoing hostility' to Israel,house of representatives 1 hour ago 11 dems join gop lawmakers to threaten un funding over ongoing hostility to israel,other
Opinion 2 hours ago The Post endorses Donald Trump for president — the clear choice for a better future,Fox News Politics,https://www.foxnews.com/opinion/post-endorses-donald-trump-president-clear-choice-better-future,2024-10-25 09:54:48.662206,Opinion 2 hours ago The Post endorses Donald Trump for president — the clear choice for a better future,opinion 2 hours ago the post endorses donald trump for president the clear choice for a better future,politics
"Polls 3 hours ago Trump, Harris dead even in national poll, with just one in four saying country headed in right direction",Fox News Politics,https://www.foxnews.com/politics/trump-harris-dead-even-national-poll-just-1-4-saying-country-headed-right-direction,2024-10-25 09:54:48.662206,"Polls 3 hours ago Trump, Harris dead even in national poll, with just one in four saying country headed in right direction",polls 3 hours ago trump harris dead even in national poll with just one in four saying country headed in right direction,politics
5 hours ago CNN's Jake Tapper admits his Democratic friends are 'terrified' Harris isn't 'closing the deal',Fox News Politics,https://www.foxnews.com/media/cnns-jake-tapper-admits-democratic-friends-terrified-harris-isnt-closing-deal,2024-10-25 09:54:48.662206,Kamala Harris 5 hours ago CNN's Jake Tapper admits his Democratic friends are 'terrified' Harris isn't 'closing the deal',5 hours ago cnn s jake tapper admits his democratic friends are terrified harris isn t closing the deal,politics
6 hours ago CNN data guru says there is a 60% chance the election ends with an 'Electoral College blowout',Fox News Politics,https://www.foxnews.com/media/cnn-data-guru-says-60-chance-election-ends-electoral-college-blowout,2024-10-25 09:54:48.662206,Media 6 hours ago CNN data guru says there is a 60% chance the election ends with an 'Electoral College blowout',6 hours ago cnn data guru there is a 60 chance the election ends with an electoral college blowout,politics
7 hours ago Secret Iranian missile storage site exposed by anti-regime group amid mounting regional tensions,Fox News Politics,https://www.foxnews.com/world/secret-iranian-missile-storage-site-exposed-anti-regime-group-amid-mounting-regional-tensions,2024-10-25 09:54:48.662206,Iran 7 hours ago Secret Iranian missile storage site exposed by anti-regime group amid mounting regional tensions,7 hours ago secret iranian missile storage site exposed by anti regime group amid mounting regional tensions,other
"Supreme Court 7 hours ago 'Ideological balance': Supreme Court's conservative majority to stay no matter who wins election, experts say",Fox News Politics,https://www.foxnews.com/politics/ideological-balance-supreme-courts-conservative-majority-stay-no-matter-who-wins-election-experts-say,2024-10-25 09:54:48.663205,"Supreme Court 7 hours ago 'Ideological balance': Supreme Court's conservative majority to stay no matter who wins election, experts say",supreme court 7 hours ago ideological balance supreme court s conservative majority to stay no matter who wins election experts say,politics
11 hours ago 96 days: Kamala Harris has yet to do formal press conference since emerging as Democratic nominee,Fox News Politics,https://www.foxnews.com/media/96-days-kamala-harris-has-yet-do-formal-press-conference-since-emerging-democratic-nominee,2024-10-25 09:54:48.663205,Media 11 hours ago 96 days: Kamala Harris has yet to do formal press conference since emerging as Democratic nominee,11 hours ago 96 days kamala harris has yet to do formal press conference since emerging as democratic nominee,politics
12 hours ago Hillary Clinton accuses Trump of 'reenacting' infamous Nazi rally at Madison Square Garden: We can't ignore it,Fox News Politics,https://www.foxnews.com/media/hillary-clinton-accuses-trump-reenacting-infamous-nazi-rally-madison-square-garden,2024-10-25 09:54:48.663205,Donald Trump 12 hours ago Hillary Clinton accuses Trump of 'reenacting' infamous Nazi rally at Madison Square Garden: We can't ignore it,12 hours ago hillary clinton accuses trump of reenacting infamous nazi rally at madison square garden we can t ignore it,politics
13 hours ago SEAN HANNITY: Democrats have failed Americans,Fox News Politics,https://www.foxnews.com/media/sean-hannity-democrats-have-failed-americans,2024-10-25 09:54:48.663205,Media 13 hours ago SEAN HANNITY: Democrats have failed Americans,13 hours ago sean hannity democrats have failed americans,politics
"15 hours ago Mel Gibson backs Trump for president, says Harris has 'the IQ of a fence post'",Fox News Politics,https://www.foxnews.com/media/mel-gibson-backs-trump-president-says-harris-has-the-iq-fence-post,2024-10-25 09:54:48.663205,"Entertainment 15 hours ago Mel Gibson backs Trump for president, says Harris has 'the IQ of a fence post'",15 hours ago mel gibson backs trump for president harris has the iq of a fence post,politics
15 hours ago Harvard professors argue that America needs a 'militant democracy' to stop Trump,Fox News Politics,https://www.foxnews.com/media/harvard-professors-argue-america-needs-militant-democracy-stop-trump,2024-10-25 09:54:48.663205,Donald Trump 15 hours ago Harvard professors argue that America needs a 'militant democracy' to stop Trump,15 hours ago harvard professors argue that america needs a militant democracy to stop trump,politics
16 hours ago RFK Jr urges Catholics to vote for Trump in new ad,Fox News Politics,https://www.foxnews.com/politics/rfk-jr-urges-catholics-vote-trump-new-ad,2024-10-25 09:54:48.663205,ELECTIONS 16 hours ago RFK Jr urges Catholics to vote for Trump in new ad,16 hours ago rfk jr urges catholics to vote for trump in ad,politics
16 hours ago Katie Couric pushes back on Charlamagne calling Kamala Harris 'authentic',Fox News Politics,https://www.foxnews.com/media/katie-couric-pushes-back-charlamagne-calling-kamala-harris-authentic,2024-10-25 09:54:48.663205,Media 16 hours ago Katie Couric pushes back on Charlamagne calling Kamala Harris 'authentic',16 hours ago katie couric pushes back on charlamagne calling kamala harris authentic,politics
"18 hours ago Trump lawyers move to dismiss Jack Smith 2020 election charges, claim he was unlawfully appointed",Fox News Politics,https://www.foxnews.com/politics/trump-lawyers-move-dismiss-jack-smith-2020-election-charges-claim-he-unlawfully-appointed,2024-10-25 09:54:48.663205,"Donald Trump 18 hours ago Trump lawyers move to dismiss Jack Smith 2020 election charges, claim he was unlawfully appointed",18 hours ago trump lawyers move to dismiss jack smith 2020 election charges claim he was unlawfully appointed,politics
Elections Newsletter 17 hours ago Fox News Politics: Nearly 1 million migrants staying 'indefinitely',Fox News Politics,https://www.foxnews.com/politics/fox-news-politics-nearly-1-million-migrants-staying-indefinitely,2024-10-25 09:54:48.663205,Elections Newsletter 17 hours ago Fox News Politics: Nearly 1 million migrants staying 'indefinitely',elections newsletter 17 hours ago fox news politics nearly 1 million migrants staying indefinitely,politics
Elections Newsletter 1 day ago Fox News Politics: Harris surrogates bedeviled by gaffes,Fox News Politics,https://www.foxnews.com/politics/fox-news-politics-harris-surrogates-bedeviled-gaffes,2024-10-25 09:54:48.663205,Elections Newsletter 1 day ago Fox News Politics: Harris surrogates bedeviled by gaffes,elections newsletter 1 day ago fox news politics harris surrogates bedeviled by gaffes,politics
Elections Newsletter 2 days ago Fox News Politics: Georgia on Trump's mind,Fox News Politics,https://www.foxnews.com/politics/fox-news-politics-georgia-trumps-mind,2024-10-25 09:54:48.663205,Elections Newsletter 2 days ago Fox News Politics: Georgia on Trump's mind,elections newsletter 2 days ago fox news politics georgia on trump s mind,politics
Harris campaigns with Bruce Springsteen while her 'Boss' is absent from campaign trail,Fox News Politics,https://www.foxnews.com/video/6363718718112,2024-10-25 09:54:48.663205,14 hours ago Harris campaigns with Bruce Springsteen while her 'Boss' is absent from campaign trail,harris campaigns with bruce springsteen while her boss is absent from campaign trail,politics
"The Harris campaign does not want to be playing ‘catch-up’ right now, highlights Katie Pavlich",Fox News Politics,https://www.foxnews.com/video/6363714246112,2024-10-25 09:54:48.663205,"15 hours ago The Harris campaign does not want to be playing ‘catch-up’ right now, highlights Katie Pavlich",the harris campaign does not want to be playing catch up right now highlights katie pavlich,politics
"Coming up on Friday, Oct. 25 edition of 'Special Report'",Fox News Politics,https://www.foxnews.com/video/6363714764112,2024-10-25 09:54:48.664205,"15 hours ago Coming up on Friday, Oct. 25 edition of 'Special Report'",coming up on friday oct 25 edition of special report,other
Former governors call for respect of the election process: 'No need to act like children',Fox News Politics,https://www.foxnews.com/video/6363715627112,2024-10-25 09:54:48.664205,15 hours ago Former governors call for respect of the election process: 'No need to act like children',former governors call for respect of the election process no need to act like children,politics
Playing the Hitler card: Will Trump backers dismiss John Kelly’s attack?,Fox News Politics,https://www.foxnews.com/politics/playing-hitler-card-trump-backers-dismiss-john-kellys-attack,2024-10-25 09:54:48.664205,Playing the Hitler card: Will Trump backers dismiss John Kelly’s attack?,playing the hitler card will trump backers dismiss john kelly s attack,politics
"Kamala Harris’ closing message is unclear, Donald Trump dominates media by going off script",Fox News Politics,https://www.foxnews.com/politics/kamala-harris-closing-message-unclear-donald-trump-dominates-media-going-off-script,2024-10-25 09:54:48.664205,"Kamala Harris’ closing message is unclear, Donald Trump dominates media by going off script",kamala harris closing message is unclear donald trump dominates media by going off script,politics
